,names,labels
62,astronaut,0
63,astronaut,0
64,astronaut,0
65,astronaut,0
66,astronaut,0
67,astronaut,0
68,astronaut,0
69,astronaut,0
70,astronaut,0
71,astronaut,0
72,computer_graphics,0
73,computer_graphics,0
74,computer_graphics,0
75,computer_graphics,0
76,computer_graphics,0
77,computer_graphics,0
78,computer_graphics,0
79,computer_graphics,0
80,computer_graphics,0
81,computer_graphics,0
162,opera,0
163,opera,0
164,opera,0
165,opera,0
166,opera,0
167,opera,0
168,opera,0
169,opera,0
170,opera,0
171,opera,0
172,opera,0
173,painter,0
174,painter,0
175,painter,0
176,painter,0
177,painter,0
178,painter,0
179,painter,0
180,painter,0
181,painter,0
182,painter,0
203,castle,1
204,castle,1
205,castle,1
206,castle,1
207,castle,1
208,castle,1
209,castle,1
210,castle,1
211,castle,1
212,castle,1
213,pyramid,1
214,pyramid,1
215,pyramid,1
216,pyramid,1
217,pyramid,1
218,pyramid,1
219,pyramid,1
220,pyramid,1
221,pyramid,1
222,pyramid,1
223,rock_climbing,1
224,rock_climbing,1
225,rock_climbing,1
226,rock_climbing,1
227,rock_climbing,1
228,rock_climbing,1
229,rock_climbing,1
230,rock_climbing,1
231,rock_climbing,1
232,rock_climbing,1
233,rock_climbing,1
0,skiing,1
234,skiing,1
235,skiing,1
236,skiing,1
237,skiing,1
238,skiing,1
239,skiing,1
240,skiing,1
241,skiing,1
242,skiing,1
12,dreams,2
13,dreams,2
14,dreams,2
15,dreams,2
16,dreams,2
17,dreams,2
18,dreams,2
19,dreams,2
20,dreams,2
21,dreams,2
22,gambling,2
23,gambling,2
24,gambling,2
25,gambling,2
26,gambling,2
27,gambling,2
28,gambling,2
29,gambling,2
30,gambling,2
31,gambling,2
82,law_school,2
83,law_school,2
84,law_school,2
85,law_school,2
86,law_school,2
87,law_school,2
88,law_school,2
89,law_school,2
90,law_school,2
91,law_school,2
102,stress,2
103,stress,2
104,stress,2
105,stress,2
106,stress,2
107,stress,2
108,stress,2
109,stress,2
110,stress,2
111,stress,2
1,beekeeping,3
2,beekeeping,3
3,beekeeping,3
4,beekeeping,3
5,beekeeping,3
6,beekeeping,3
7,beekeeping,3
8,beekeeping,3
9,beekeeping,3
10,beekeeping,3
11,beekeeping,3
42,ice_cream,3
43,ice_cream,3
44,ice_cream,3
45,ice_cream,3
46,ice_cream,3
47,ice_cream,3
48,ice_cream,3
49,ice_cream,3
50,ice_cream,3
51,ice_cream,3
132,taste,3
133,taste,3
134,taste,3
135,taste,3
136,taste,3
137,taste,3
138,taste,3
139,taste,3
140,taste,3
112,tuxedo,3
113,tuxedo,3
114,tuxedo,3
115,tuxedo,3
116,tuxedo,3
117,tuxedo,3
118,tuxedo,3
119,tuxedo,3
120,tuxedo,3
121,tuxedo,3
122,blindness,4
123,blindness,4
124,blindness,4
125,blindness,4
126,blindness,4
127,blindness,4
128,blindness,4
129,blindness,4
130,blindness,4
131,blindness,4
141,bone_fracture,4
142,bone_fracture,4
143,bone_fracture,4
144,bone_fracture,4
145,bone_fracture,4
146,bone_fracture,4
147,bone_fracture,4
148,bone_fracture,4
149,bone_fracture,4
150,bone_fracture,4
151,bone_fracture,4
152,infection,4
153,infection,4
154,infection,4
155,infection,4
156,infection,4
157,infection,4
158,infection,4
159,infection,4
160,infection,4
161,infection,4
92,pharmacist,4
93,pharmacist,4
94,pharmacist,4
95,pharmacist,4
96,pharmacist,4
97,pharmacist,4
98,pharmacist,4
99,pharmacist,4
100,pharmacist,4
101,pharmacist,4
32,hurricane,5
33,hurricane,5
34,hurricane,5
35,hurricane,5
36,hurricane,5
37,hurricane,5
38,hurricane,5
39,hurricane,5
40,hurricane,5
41,hurricane,5
52,lawn_mower,5
53,lawn_mower,5
54,lawn_mower,5
55,lawn_mower,5
56,lawn_mower,5
57,lawn_mower,5
58,lawn_mower,5
59,lawn_mower,5
60,lawn_mower,5
61,lawn_mower,5
183,owl,5
184,owl,5
185,owl,5
186,owl,5
187,owl,5
188,owl,5
189,owl,5
190,owl,5
191,owl,5
192,owl,5
193,polar_bear,5
194,polar_bear,5
195,polar_bear,5
196,polar_bear,5
197,polar_bear,5
198,polar_bear,5
199,polar_bear,5
200,polar_bear,5
201,polar_bear,5
202,polar_bear,5
